date,lake_level,lake_extent_km2,water_depth,volume_km3
1948-07-10,1134.559,66842.11045373358,1134.559,75836.3179942775
1948-07-11,1134.559,66842.11045373358,1134.559,75836.3179942775
1948-07-12,1134.559,66842.11045373358,1134.559,75836.3179942775
1948-07-13,1134.559,66842.11045373358,1134.559,75836.3179942775
1948-07-14,1134.559,66842.11045373358,1134.559,75836.3179942775
1948-07-15,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-07-16,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-07-17,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-07-18,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-07-19,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-07-20,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-07-21,1134.584,66842.3584405201,1134.584,75838.27040887906
1948-07-22,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-07-23,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-07-24,1134.594,66842.3584405201,1134.594,75838.93883246346
1948-07-25,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-07-26,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-07-27,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-07-28,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-07-29,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-07-30,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-07-31,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-08-01,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-08-02,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-03,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-08-04,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-08-05,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-06,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-07,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-08,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-09,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-10,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-11,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-12,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-13,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-14,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-15,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-16,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-17,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-18,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-19,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-20,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-21,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-22,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-08-23,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-08-24,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-08-25,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-08-26,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-08-27,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-08-28,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-29,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-30,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-08-31,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-09-01,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-09-02,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-09-03,1134.499,66841.61448016053,1134.499,75831.74478612765
1948-09-04,1134.619,66842.3584405201,1134.619,75840.60989142446
1948-09-05,1134.619,66842.3584405201,1134.619,75840.60989142446
1948-09-06,1134.619,66842.3584405201,1134.619,75840.60989142446
1948-09-07,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-09-08,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-09-09,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-09-10,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-09-11,1134.499,66841.61448016053,1134.499,75831.74478612765
1948-09-12,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-09-13,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-09-14,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-09-15,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-09-16,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-09-17,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-09-18,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-09-19,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-09-20,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-09-21,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-09-22,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-09-23,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-09-24,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-09-25,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-09-26,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-09-27,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-09-28,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-09-29,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-09-30,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-10-01,1134.559,66842.11045373358,1134.559,75836.3179942775
1948-10-02,1134.479,66841.61448016053,1134.479,75830.40795383803
1948-10-03,1134.484,66841.61448016053,1134.484,75830.74216191043
1948-10-04,1134.479,66841.61448016053,1134.479,75830.40795383803
1948-10-05,1134.479,66841.61448016053,1134.479,75830.40795383803
1948-10-06,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-10-07,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-10-08,1134.454,66841.61448016053,1134.454,75828.73691347602
1948-10-09,1134.454,66841.61448016053,1134.454,75828.73691347602
1948-10-10,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-10-11,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-10-12,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-10-13,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-10-14,1134.464,66841.61448016053,1134.464,75829.40532962083
1948-10-15,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-10-16,1134.454,66841.61448016053,1134.454,75828.73691347602
1948-10-17,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-10-18,1134.469,66841.61448016053,1134.469,75829.73953769323
