date,lake_level,lake_extent_km2
1949-04-28,1134.324,66841.366493374
1949-04-29,1134.299,66841.366493374
1949-04-30,1134.299,66841.366493374
1949-05-01,1134.289,66841.366493374
1949-05-02,1134.289,66841.366493374
1949-05-03,1134.289,66841.366493374
1949-05-04,1134.289,66841.366493374
1949-05-05,1134.289,66841.366493374
1949-05-06,1134.289,66841.366493374
1949-05-07,1134.289,66841.366493374
1949-05-08,1134.289,66841.366493374
1949-05-09,1134.289,66841.366493374
1949-05-10,1134.319,66841.366493374
1949-05-11,1134.319,66841.366493374
1949-05-12,1134.319,66841.366493374
1949-05-13,1134.319,66841.366493374
1949-05-14,1134.279,66841.366493374
1949-05-15,1134.289,66841.366493374
1949-05-16,1134.289,66841.366493374
1949-05-17,1134.289,66841.366493374
1949-05-18,1134.289,66841.366493374
1949-05-19,1134.299,66841.366493374
1949-05-20,1134.329,66841.366493374
1949-05-21,1134.314,66841.366493374
1949-05-22,1134.329,66841.366493374
1949-05-23,1134.339,66841.366493374
1949-05-24,1134.334,66841.366493374
1949-05-25,1134.314,66841.366493374
1949-05-26,1134.304,66841.366493374
1949-05-27,1134.329,66841.366493374
1949-05-28,1134.399,66841.61448016053
1949-05-29,1134.339,66841.366493374
1949-05-30,1134.354,66841.366493374
1949-05-31,1134.324,66841.366493374
1949-06-01,1134.359,66841.366493374
1949-06-02,1134.319,66841.366493374
1949-06-03,1134.369,66841.366493374
1949-06-04,1134.349,66841.366493374
1949-06-05,1134.319,66841.366493374
1949-06-06,1134.339,66841.366493374
1949-06-07,1134.319,66841.366493374
1949-06-08,1134.339,66841.366493374
1949-06-09,1134.309,66841.366493374
1949-06-10,1134.339,66841.366493374
1949-06-11,1134.314,66841.366493374
1949-06-12,1134.339,66841.366493374
1949-06-13,1134.309,66841.366493374
1949-06-14,1134.294,66841.366493374
1949-06-15,1134.299,66841.366493374
1949-06-16,1134.304,66841.366493374
1949-06-17,1134.274,66841.366493374
1949-06-18,1134.264,66841.366493374
1949-06-19,1134.269,66841.366493374
1949-06-20,1134.254,66841.366493374
1949-06-21,1134.274,66841.366493374
1949-06-22,1134.269,66841.366493374
1949-06-23,1134.269,66841.366493374
1949-06-24,1134.249,66841.366493374
1949-06-25,1134.239,66841.366493374
1949-06-26,1134.259,66841.366493374
1949-06-27,1134.249,66841.366493374
1949-06-28,1134.239,66841.366493374
1949-06-29,1134.244,66841.366493374
1949-06-30,1134.219,66841.366493374
1949-07-01,1134.219,66841.366493374
1949-07-02,1134.269,66841.366493374
1949-07-03,1134.219,66841.366493374
1949-07-04,1134.209,66841.366493374
1949-07-05,1134.249,66841.366493374
1949-07-06,1134.239,66841.366493374
1949-07-07,1134.229,66841.366493374
1949-07-08,1134.229,66841.366493374
1949-07-09,1134.229,66841.366493374
1949-07-10,1134.229,66841.366493374
1949-07-11,1134.229,66841.366493374
1949-07-12,1134.219,66841.366493374
1949-07-13,1134.199,66841.366493374
1949-07-14,1134.189,66841.366493374
1949-07-15,1134.214,66841.366493374
1949-07-16,1134.204,66841.366493374
1949-07-17,1134.209,66841.366493374
1949-07-18,1134.194,66841.366493374
1949-07-19,1134.214,66841.366493374
1949-07-20,1134.169,66841.366493374
1949-07-21,1134.159,66841.366493374
1949-07-22,1134.229,66841.366493374
1949-07-23,1134.199,66841.366493374
1949-07-24,1134.199,66841.366493374
1949-07-25,1134.239,66841.366493374
1949-07-26,1134.229,66841.366493374
1949-07-27,1134.199,66841.366493374
1949-07-28,1134.199,66841.366493374
1949-07-29,1134.184,66841.366493374
1949-07-30,1134.149,66841.366493374
1949-07-31,1134.149,66841.366493374
1949-08-01,1134.139,66841.366493374
1949-08-02,1134.149,66841.366493374
1949-08-03,1134.159,66841.366493374
1949-08-04,1134.199,66841.366493374
1949-08-05,1134.179,66841.366493374
1949-08-06,1134.199,66841.366493374
1949-08-07,1134.169,66841.366493374
1949-08-08,1134.174,66841.366493374
1949-08-09,1134.209,66841.366493374
1949-08-10,1134.184,66841.366493374
1949-08-11,1134.189,66841.366493374
1949-08-12,1134.169,66841.366493374
1949-08-13,1134.174,66841.366493374
1949-08-14,1134.184,66841.366493374
1949-08-15,1134.159,66841.366493374
1949-08-16,1134.184,66841.366493374
1949-08-17,1134.209,66841.366493374
1949-08-18,1134.174,66841.366493374
1949-08-19,1134.199,66841.366493374
1949-08-20,1134.159,66841.366493374
1949-08-21,1134.159,66841.366493374
1949-08-22,1134.179,66841.366493374
1949-08-23,1134.139,66841.366493374
1949-08-24,1134.164,66841.366493374
1949-08-25,1134.144,66841.366493374
1949-08-26,1134.179,66841.366493374
1949-08-27,1134.149,66841.366493374
1949-08-28,1134.139,66841.366493374
1949-08-29,1134.179,66841.366493374
1949-08-30,1134.149,66841.366493374
1949-08-31,1134.159,66841.366493374
1949-09-01,1134.139,66841.366493374
1949-09-02,1134.149,66841.366493374
1949-09-03,1134.169,66841.366493374
1949-09-04,1134.144,66841.366493374
1949-09-05,1134.119,66841.366493374
1949-09-06,1134.139,66841.366493374
1949-09-07,1134.124,66841.366493374
1949-09-08,1134.149,66841.366493374
1949-09-09,1134.154,66841.366493374
1949-09-10,1134.159,66841.366493374
1949-09-11,1134.139,66841.366493374
1949-09-12,1134.119,66841.366493374
1949-09-13,1134.119,66841.366493374
1949-09-14,1134.134,66841.366493374
1949-09-15,1134.089,66841.366493374
1949-09-16,1134.119,66841.366493374
1949-09-17,1134.144,66841.366493374
1949-09-18,1134.119,66841.366493374
1949-09-19,1134.129,66841.366493374
1949-09-20,1134.139,66841.366493374
1949-09-21,1134.114,66841.366493374
1949-09-22,1134.094,66841.366493374
1949-09-23,1134.114,66841.366493374
1949-09-24,1134.109,66841.366493374
1949-09-25,1134.039,66841.366493374
1949-09-26,1134.079,66841.366493374
1949-09-27,1134.069,66841.366493374
1949-09-28,1134.054,66841.366493374
1949-09-29,1134.039,66841.366493374
1949-09-30,1134.049,66841.366493374
1949-10-01,1134.039,66841.366493374
1949-10-02,1134.039,66841.366493374
1949-10-03,1134.099,66841.366493374
1949-10-04,1134.079,66841.366493374
1949-10-05,1134.059,66841.366493374
1949-10-06,1134.059,66841.366493374
1949-10-07,1134.049,66841.366493374
1949-10-08,1134.059,66841.366493374
1949-10-09,1133.959,66743.6596994823
1949-10-10,1134.059,66841.366493374
1949-10-11,1134.059,66841.366493374
1949-10-12,1134.049,66841.366493374
1949-10-13,1134.069,66841.366493374
1949-10-14,1134.059,66841.366493374
1949-10-15,1134.059,66841.366493374
1949-10-16,1134.059,66841.366493374
1949-10-17,1134.074,66841.366493374
1949-10-18,1134.044,66841.366493374
1949-10-19,1134.039,66841.366493374
1949-10-20,1134.069,66841.366493374
1949-10-21,1134.044,66841.366493374
1949-10-22,1134.044,66841.366493374
1949-10-23,1134.049,66841.366493374
1949-10-24,1134.044,66841.366493374
1949-10-25,1134.039,66841.366493374
1949-10-26,1134.029,66841.366493374
1949-10-27,1134.019,66841.366493374
1949-10-28,1134.039,66841.366493374
1949-10-29,1134.019,66841.366493374
1949-10-30,1134.019,66841.366493374
1949-10-31,1133.999,66770.19428564071
1949-11-01,1134.014,66841.366493374
