depth_m,area_m2
13.84,1059895526
13.85,1062623380
13.86,1063863314
13.87,1065103248
13.88,1066343182
13.89,1067583116
13.9,1069567010
13.91,1072046878
13.92,1072046878
13.93,1074030772
13.94,1075766680
13.95,1077006614
13.96,1078494535
13.97,1080230442
13.98,1081470376
13.99,1082462323
14,1083950244
14.01,1085686151
14.02,1087174072
14.03,1088414006
14.04,1089653940
14.05,1090397900
14.06,1092381795
14.07,1094613676
14.08,1096101596
14.09,1097589517
14.1,1098085491
14.11,1099325425
14.12,1100565359
14.13,1101805293
14.14,1103789187
14.15,1105277108
14.16,1107261002
14.17,1108748923
14.18,1111228790
14.19,1111972751
14.2,1113212685
14.21,1113708658
14.22,1115692553
